Hours,Classwork,Homework,Score
0.06,3.97,0.42,1.6
8.15,6.22,0.18,8.86
7.07,8.62,9.88,7.33
7.29,9.5,4.28,9.73
7.71,1.47,3.84,6.57
0.74,9.27,6.8,5.14
3.58,4.92,2.18,4.55
1.16,2.58,9.5,6.67
8.63,4.59,7.86,6.22
6.23,9.8,0.89,5.75
3.31,4.93,4.18,3.34
0.64,3.29,8.79,2.62
3.11,6.33,9.45,5.33
3.25,2.4,4.67,1.5
7.3,0.76,6.13,4.38
6.38,1.29,1.67,1.77
8.87,1.28,9.91,6.5
4.72,1.52,2.32,0.39
1.2,1.39,9.43,4.24
7.13,6.41,6.5,7.9
7.61,1.82,6.08,1.84
5.61,3.46,5.13,5.17
7.71,8.97,2.31,8.43
4.94,4.74,1.77,2.09
5.23,6.68,2.2,7.41
4.28,1.72,1.86,3.16
0.25,1.92,7.8,2.13
1.08,0.41,3.5,1.45
0.31,1.69,0.58,1.78
6.36,2.79,9.69,6.04
3.14,1.77,8.84,5.11
5.09,0.89,9.28,3.28
9.08,1.21,9.95,6.44
2.49,4.61,1.74,0.99
4.1,2.06,3.96,3.08
7.56,3.64,7.58,4.64
2.29,5.03,6.96,3.68
0.77,6.9,1.54,5.31
2.9,0.39,8.16,5.11
1.61,7.99,2.24,5.27
9.3,6.28,2.24,4.33
8.08,0.82,5.37,3.89
6.33,8.74,5.93,8.99
8.71,9.21,5.8,8.25
8.04,0.61,0.91,6.41
1.87,2.77,8.77,4.89
8.93,8.06,2.66,6.99
5.39,7.48,1.3,4.54
8.07,1.85,8.89,6.03
8.96,2.09,9.56,6.16
3.18,3.7,8.62,6.08
1.1,4.85,8.1,6.13
2.28,6.18,6.55,3.94
4.27,3.69,5.51,2.41
8.18,4.63,0.87,1.81
8.61,7.47,4.08,7.56
0.07,0.37,3.73,0.0
5.11,2.52,2.6,0.09
4.17,7.13,7.23,6.86
2.22,8.95,4.96,9.47
1.2,5.12,0.81,2.64
3.38,5.32,2.2,5.06
9.43,1.07,6.83,5.43
3.23,4.47,0.76,2.84
5.19,5.33,8.51,7.62
7.03,2.42,4.95,4.13
3.64,2.69,4.81,4.01
9.72,3.77,5.92,6.68
9.62,0.2,8.25,4.44
2.52,3.22,3.48,4.58
4.97,2.11,6.78,4.11
3.01,3.27,5.66,2.78
2.85,1.2,2.67,2.94
0.37,8.91,8.79,4.96
6.1,5.94,7.97,6.64
5.03,6.79,6.58,6.19
0.51,7.89,8.51,7.49
2.79,4.98,8.67,6.14
9.08,0.87,7.08,5.16
2.4,5.37,8.37,6.6
1.45,5.87,6.97,6.96
4.89,7.45,6.8,7.33
9.86,4.32,6.19,6.55
2.42,1.28,7.53,1.53
6.72,2.84,1.59,2.03
7.62,3.63,8.81,5.92
2.38,6.46,8.72,5.0
7.28,5.71,0.29,4.28
3.68,3.56,8.26,5.09
6.32,9.87,1.29,7.02
6.34,6.06,3.35,5.22
5.36,2.37,7.44,5.52
0.9,1.02,1.61,1.26
8.35,1.53,8.18,2.61
3.21,2.46,8.32,3.03
1.87,1.61,5.07,2.51
0.41,1.87,0.06,0.0
5.91,2.85,2.87,4.67
6.78,1.73,6.17,6.87
0.17,8.97,9.81,8.41
5.12,0.8,6.32,3.43
2.26,5.25,2.6,5.79
6.45,4.1,6.34,5.7
1.74,9.82,5.4,5.57
6.91,1.12,7.8,3.94
3.87,3.98,1.07,2.62
9.37,9.69,7.61,8.39
1.38,8.66,5.41,5.75
3.41,8.17,9.63,7.42
1.13,2.58,3.42,2.4
9.25,1.71,6.33,6.01
8.77,6.69,9.32,9.89
2.58,9.29,1.03,6.22
6.6,5.57,9.37,4.79
8.17,5.72,6.88,2.97
5.55,2.8,0.68,4.39
5.3,7.69,3.01,3.52
2.42,1.87,7.08,3.26
0.93,3.24,0.67,0.02
8.97,4.25,5.82,3.44
9.0,5.08,3.46,6.58
6.33,2.42,6.21,5.87
3.39,1.15,0.46,0.75
3.49,6.11,8.72,2.22
7.26,2.89,9.73,5.43
8.97,5.81,9.69,8.51
8.87,1.54,7.5,3.31
7.8,4.81,1.3,4.93
6.42,5.33,7.58,6.31
0.84,0.52,0.25,1.4
1.62,3.37,0.22,2.08
8.99,1.34,3.24,2.74
6.06,0.63,4.89,5.33
0.09,9.9,7.7,6.06
1.01,3.22,6.83,3.6
6.64,8.1,4.46,5.17
0.05,2.55,2.74,1.19
1.61,6.82,9.97,4.87
5.49,7.6,4.26,5.71
6.92,5.96,4.51,8.38
6.52,4.72,1.64,2.28
2.24,4.12,7.95,2.28
7.12,3.49,6.94,7.82
2.37,9.3,2.21,4.78
3.25,8.31,0.82,3.54
7.46,9.65,6.8,9.7
6.5,1.24,6.55,3.5
8.49,7.31,2.73,9.03
6.58,9.38,9.51,9.6
5.68,1.81,1.51,2.15
0.94,0.66,4.32,5.08
3.68,7.41,9.44,5.99
2.65,5.74,4.2,5.47
2.44,8.42,6.39,6.46
9.73,1.4,3.98,6.62
3.93,7.95,2.74,7.53
8.92,2.02,9.84,6.48
6.31,1.64,4.09,2.65
7.95,1.64,8.94,6.41
5.03,8.15,2.3,4.44
5.77,6.65,2.13,8.05
4.93,5.23,0.31,3.87
1.95,3.59,6.52,3.43
7.22,8.77,3.69,7.06
2.81,3.92,8.64,2.98
0.24,8.17,4.73,3.3
6.45,4.39,9.68,8.4
1.77,3.77,1.86,1.61
9.4,4.63,8.69,5.71
9.54,3.01,7.77,7.2
9.15,7.48,7.71,9.83
3.7,5.03,8.45,6.73
0.15,2.32,7.61,4.75
9.28,9.0,6.26,7.13
4.28,3.84,1.31,1.08
9.67,5.44,0.33,7.42
9.64,9.06,9.21,8.8
8.53,6.24,6.17,6.53
2.94,1.17,7.97,5.73
3.85,9.4,4.82,7.19
8.51,6.28,1.17,6.1
3.17,3.35,1.25,5.91
1.69,1.39,6.86,2.16
5.57,7.94,4.3,7.53
9.36,6.2,2.01,5.98
6.96,5.33,4.92,6.1
5.7,8.94,0.64,7.77
0.97,7.89,5.82,5.95
6.15,1.52,2.69,4.07
9.9,3.12,7.98,8.22
1.4,2.48,3.1,1.8
5.18,7.44,4.55,4.64
8.77,0.34,0.12,1.23
7.41,5.7,0.72,1.77
6.97,7.62,3.92,9.4
7.02,8.77,4.8,5.4
3.59,3.42,6.0,3.91
2.94,8.21,2.92,4.63
8.09,1.11,6.95,5.42
8.1,8.46,8.6,9.62
8.67,1.27,7.8,6.74
9.13,3.97,0.4,3.57
5.11,7.97,4.81,5.91
5.02,1.5,1.05,2.84
7.98,2.29,2.42,3.66
6.5,7.22,9.87,10.0
7.02,7.2,1.42,6.15
7.96,6.41,4.99,7.55
8.9,6.94,6.18,8.29
3.38,5.43,7.02,7.05
3.76,2.52,5.6,4.08
0.94,3.46,0.1,0.0
5.78,1.82,3.26,4.04
0.36,9.08,5.18,4.32
4.66,5.83,0.88,3.2
5.43,4.01,3.51,5.16
2.87,4.62,0.33,4.66
5.91,9.47,0.79,5.83
0.31,1.53,3.97,2.36
0.37,5.86,1.33,5.41
8.23,5.06,5.68,6.56
3.6,6.11,6.89,9.5
1.27,0.18,8.01,3.7
5.22,8.72,2.0,3.01
7.7,9.32,1.67,7.67
2.16,5.65,1.05,3.79
6.23,6.97,6.36,8.5
0.85,9.22,7.06,7.08
0.52,7.07,0.32,2.87
5.31,1.53,9.36,3.18
5.41,5.76,0.52,3.77
6.37,6.07,5.41,4.69
7.26,4.24,7.09,5.13
9.76,7.36,8.71,9.37
5.16,9.34,7.14,9.93
3.23,9.26,8.02,7.67
7.95,4.51,3.39,3.41
2.71,1.13,8.15,4.38
4.39,9.85,0.8,7.29
0.78,8.39,8.95,5.36
0.25,1.25,5.48,2.02
9.63,9.21,8.17,9.05
8.36,8.7,4.52,6.17
6.96,5.19,6.44,7.07
4.09,5.91,5.26,4.99
1.73,3.99,7.32,4.94
1.56,0.55,0.82,0.0
2.5,3.35,0.6,1.62
5.49,8.03,2.47,6.68
7.15,0.05,1.6,2.08
6.6,3.33,8.72,8.52
2.8,3.98,2.19,2.49
9.55,5.37,9.76,8.28
7.38,9.2,3.37,8.3
5.54,3.46,1.82,1.47
6.12,3.47,7.9,2.95
4.2,7.38,6.59,3.9
2.48,4.52,4.98,5.94
3.56,2.25,5.55,2.8
7.58,4.52,7.19,10.0
0.14,1.41,2.28,0.45
1.16,1.76,9.96,4.32
0.46,4.98,9.75,7.37
0.41,4.19,6.5,6.76
8.55,9.15,2.0,9.92
7.04,3.62,6.8,7.41
4.74,5.81,0.72,5.5
0.98,6.32,0.31,3.8
4.92,0.13,2.58,3.47
4.73,6.64,4.63,4.64
1.73,1.78,8.68,2.61
4.34,9.61,7.27,7.32
3.99,1.49,7.43,3.76
6.16,4.15,4.25,4.1
6.35,0.85,3.46,4.33
0.45,9.97,3.71,6.67
3.75,5.02,9.88,6.23
6.26,5.95,0.4,6.6
5.03,0.67,8.67,2.67
8.56,7.5,5.79,7.01
6.59,2.1,4.39,3.06
1.63,8.98,7.25,3.46
0.71,2.05,4.87,2.37
6.42,1.91,8.73,5.13
0.27,0.37,9.01,5.2
5.86,4.72,4.22,5.86
9.4,5.65,2.77,4.37
5.75,0.66,5.92,6.55
3.88,7.76,9.12,8.84
6.43,4.53,2.11,5.25
4.58,5.24,6.23,5.0
5.46,4.41,6.32,3.86
9.41,4.01,7.33,6.07
3.86,5.6,1.32,5.42
9.61,1.55,7.16,8.48
9.05,1.82,9.09,8.49
1.96,8.62,1.8,3.84
0.69,9.46,2.38,3.03
1.01,3.73,9.71,4.92
0.18,2.71,1.81,0.0
0.94,6.44,8.54,5.91
6.83,4.09,4.92,4.94
0.71,0.25,2.47,0.36
3.19,1.56,8.71,1.8
8.45,7.16,4.45,7.5
0.23,6.59,5.15,3.45
8.14,0.27,3.59,1.87
2.82,2.22,5.93,0.0
1.18,2.31,1.64,1.73
6.97,6.72,3.91,8.61
6.29,0.2,9.69,7.37
8.77,1.04,2.58,3.14
7.35,8.0,6.57,6.47
8.03,1.79,3.25,4.8
2.82,6.53,7.73,4.28
1.77,2.38,1.31,2.33
7.51,0.99,9.7,6.71
8.07,2.43,4.54,6.59
9.91,7.22,2.36,6.42
4.13,8.56,0.73,4.58
3.72,8.3,1.7,3.63
7.76,3.97,5.2,4.24
3.41,6.68,3.37,4.37
9.31,2.05,8.29,6.65
8.58,2.93,4.31,6.41
4.29,8.96,2.49,4.41
7.51,0.13,6.17,6.4
7.55,0.86,7.07,4.32
1.03,2.08,1.67,1.61
9.03,0.27,1.68,2.2
5.05,1.81,0.37,0.0
8.26,5.83,7.36,8.35
3.2,4.21,6.64,5.74
8.96,8.93,4.75,7.26
3.89,8.17,8.44,7.07
0.11,3.42,8.06,4.59
9.05,2.59,5.85,3.17
0.91,3.8,8.68,3.6
3.19,5.9,2.06,5.13
9.5,2.68,1.12,2.38
9.51,6.24,2.7,6.6
5.73,4.09,0.57,1.49
6.32,5.52,5.31,6.4
4.48,4.36,9.37,5.85
2.93,2.94,0.39,0.0
3.29,9.48,1.22,6.89
6.73,7.64,4.52,5.33
7.52,1.4,9.34,4.4
7.92,8.68,3.16,7.1
7.9,4.87,5.07,7.56
0.91,8.95,0.42,2.45
4.94,8.0,1.48,5.22
0.58,4.25,9.87,5.48
5.5,0.22,9.65,5.67
4.42,2.69,0.05,2.68
8.88,5.42,9.52,7.13
3.51,6.33,6.39,4.26
1.17,2.58,8.68,4.12
1.43,1.39,4.55,0.74
7.62,8.35,5.16,2.79
6.18,9.84,4.89,7.91
1.01,5.26,6.67,5.76
0.84,1.72,1.4,0.0
7.01,2.72,0.3,1.77
0.73,0.18,3.08,2.14
8.22,9.14,7.05,10.0
7.06,1.18,2.02,3.23
0.81,5.77,6.73,3.48
0.85,2.74,9.7,3.99
9.87,5.54,0.94,7.52
3.74,6.51,6.73,4.78
3.71,8.3,4.44,4.56
8.13,2.06,8.68,5.14
9.47,0.11,1.77,1.99
9.86,1.37,6.93,5.77
7.53,9.0,8.38,10.0
3.76,8.74,9.45,7.94
0.84,5.97,6.83,4.31
7.77,6.01,4.97,5.79
5.58,6.65,6.18,3.84
4.24,1.75,8.69,5.91
9.06,9.14,5.71,7.97
1.11,4.19,0.3,1.83
4.93,3.83,9.31,10.0
0.11,5.19,6.9,4.63
4.69,0.47,6.77,2.5
0.56,1.66,2.16,0.84
1.19,7.38,6.59,7.01
1.18,0.83,3.94,2.04
6.49,6.03,6.51,4.16
7.46,2.45,1.07,4.92
5.83,3.89,6.58,4.28
9.62,2.89,9.99,9.85
3.75,3.56,0.48,4.31
2.86,7.19,9.77,5.99
8.69,2.97,4.07,6.94
2.24,5.66,8.71,5.65
9.63,4.76,7.82,8.42
0.12,6.64,5.67,5.12
9.7,9.37,7.38,7.6
0.43,7.33,8.79,4.73
8.91,2.15,4.04,6.29
5.28,0.31,3.27,2.19
9.93,2.62,6.68,5.43
0.74,5.95,8.08,3.59
5.54,0.51,7.62,4.79
9.69,4.96,7.98,10.0
5.23,5.97,4.36,3.66
6.29,3.34,8.18,5.72
6.96,7.71,1.2,7.65
4.55,1.07,5.44,3.3
6.28,0.75,0.06,2.88
5.84,7.28,3.25,4.05
9.01,4.95,3.66,6.43
0.45,6.88,3.96,3.8
2.81,4.35,6.95,6.15
9.5,2.46,3.89,6.78
8.9,8.19,4.49,10.0
4.56,7.99,2.38,6.15
6.2,6.95,3.73,6.25
2.77,2.72,2.27,2.89
1.88,5.9,0.73,2.62
4.64,3.61,6.03,5.15
3.53,0.92,6.68,2.99
5.84,9.17,6.19,7.53
0.78,1.37,4.63,4.15
9.74,9.5,3.8,6.35
9.86,4.46,8.63,9.04
