Hours,Classwork,Homework,Score
2.39,1.39,9.43,4.6
14.26,6.41,6.5,10.0
15.22,1.82,6.08,4.12
11.23,3.46,5.13,6.85
15.42,8.97,2.31,10.0
9.88,4.74,1.77,3.57
10.45,6.68,2.2,8.98
8.55,1.72,1.86,4.44
0.51,1.92,7.8,2.2
2.16,0.41,3.5,1.78
0.63,1.69,0.58,1.88
12.73,2.79,9.69,7.95
6.29,1.77,8.84,6.05
10.17,0.89,9.28,4.81
18.15,1.21,9.95,9.17
4.99,4.61,1.74,1.74
8.21,2.06,3.96,4.31
15.11,3.64,7.58,6.91
4.58,5.03,6.96,4.37
1.54,6.9,1.54,5.54
5.8,0.39,8.16,5.98
3.22,7.99,2.24,5.75
18.59,6.28,2.24,7.12
16.16,0.82,5.37,6.31
12.67,8.74,5.93,10.0
17.43,9.21,5.8,10.0
16.07,0.61,0.91,8.82
3.73,2.77,8.77,5.45
17.85,8.06,2.66,9.67
10.79,7.48,1.3,6.15
16.15,1.85,8.89,8.45
17.92,2.09,9.56,8.85
6.36,3.7,8.62,7.04
2.2,4.85,8.1,6.46
4.56,6.18,6.55,4.63
8.54,3.69,5.51,3.69
16.36,4.63,0.87,4.26
17.21,7.47,4.08,10.0
0.14,0.37,3.73,0.0
10.21,2.52,2.6,1.62
8.35,7.13,7.23,8.11
4.44,8.95,4.96,10.0
2.4,5.12,0.81,3.0
6.75,5.32,2.2,6.07
18.86,1.07,6.83,8.26
6.46,4.47,0.76,3.81
10.38,5.33,8.51,9.18
14.06,2.42,4.95,6.24
7.27,2.69,4.81,5.1
19.44,3.77,5.92,9.6
19.25,0.2,8.25,7.33
5.04,3.22,3.48,5.33
9.94,2.11,6.78,5.6
6.02,3.27,5.66,3.68
5.7,1.2,2.67,3.79
0.74,8.91,8.79,5.07
12.19,5.94,7.97,8.47
10.05,6.79,6.58,7.69
1.03,7.89,8.51,7.65
5.57,4.98,8.67,6.98
18.17,0.87,7.08,7.88
4.79,5.37,8.37,7.32
2.9,5.87,6.97,7.39
9.79,7.45,6.8,8.8
19.71,4.32,6.19,9.51
4.84,1.28,7.53,2.25
13.44,2.84,1.59,4.05
15.23,3.63,8.81,8.21
4.75,6.46,8.72,5.71
14.56,5.71,0.29,6.46
7.36,3.56,8.26,6.19
12.65,9.87,1.29,8.92
12.67,6.06,3.35,7.12
10.72,2.37,7.44,7.12
1.81,1.02,1.61,1.53
16.71,1.53,8.18,5.11
6.42,2.46,8.32,4.0
3.73,1.61,5.07,3.07
0.82,1.87,0.06,0.0
11.82,2.85,2.87,6.45
13.55,1.73,6.17,8.91
0.33,8.97,9.81,8.46
10.24,0.8,6.32,4.97
4.53,5.25,2.6,6.47
12.9,4.1,6.34,7.64
3.49,9.82,5.4,6.09
13.82,1.12,7.8,6.01
7.73,3.98,1.07,3.78
18.73,9.69,7.61,10.0
2.75,8.66,5.41,6.17
6.82,8.17,9.63,8.44
2.27,2.58,3.42,2.74
18.49,1.71,6.33,8.78
17.55,6.69,9.32,10.0
5.16,9.29,1.03,7.0
13.2,5.57,9.37,6.77
16.34,5.72,6.88,5.42
11.1,2.8,0.68,6.06
10.59,7.69,3.01,5.11
4.84,1.87,7.08,3.99
1.86,3.24,0.67,0.3
17.94,4.25,5.82,6.13
18.01,5.08,3.46,9.28
12.66,2.42,6.21,7.77
6.78,1.15,0.46,1.77
6.98,6.11,8.72,3.27
14.52,2.89,9.73,7.61
17.94,5.81,9.69,10.0
17.74,1.54,7.5,5.97
15.6,4.81,1.3,7.27
12.84,5.33,7.58,8.23
1.68,0.52,0.25,1.65
3.23,3.37,0.22,2.56
17.97,1.34,3.24,5.44
12.13,0.63,4.89,7.15
0.18,9.9,7.7,6.09
2.03,3.22,6.83,3.91
13.27,8.1,4.46,7.16
0.1,2.55,2.74,1.2
3.22,6.82,9.97,5.36
10.97,7.6,4.26,7.35
13.84,5.96,4.51,10.0
13.04,4.72,1.64,4.23
4.49,4.12,7.95,2.96
14.24,3.49,6.94,9.96
4.74,9.3,2.21,5.49
6.51,8.31,0.82,4.52
14.93,9.65,6.8,10.0
12.99,1.24,6.55,5.45
16.98,7.31,2.73,10.0
13.15,9.38,9.51,10.0
11.37,1.81,1.51,3.86
1.87,0.66,4.32,5.36
7.35,7.41,9.44,7.09
5.3,5.74,4.2,6.26
4.88,8.42,6.39,7.2
19.46,1.4,3.98,9.54
7.86,7.95,2.74,8.7
17.84,2.02,9.84,9.16
12.62,1.64,4.09,4.54
15.9,1.64,8.94,8.8
10.05,8.15,2.3,5.95
11.54,6.65,2.13,9.78
9.85,5.23,0.31,5.35
3.9,3.59,6.52,4.01
14.45,8.77,3.69,9.23
5.62,3.92,8.64,3.83
0.49,8.17,4.73,3.37
12.91,4.39,9.68,10.0
3.54,3.77,1.86,2.14
18.81,4.63,8.69,8.53
19.08,3.01,7.77,10.0
18.3,7.48,7.71,10.0
7.4,5.03,8.45,7.84
0.31,2.32,7.61,4.8
18.57,9.0,6.26,9.91
8.56,3.84,1.31,2.37
19.33,5.44,0.33,10.0
19.27,9.06,9.21,10.0
17.06,6.24,6.17,9.09
5.89,1.17,7.97,6.62
7.7,9.4,4.82,8.35
17.02,6.28,1.17,8.65
6.34,3.35,1.25,6.86
3.39,1.39,6.86,2.67
11.14,7.94,4.3,9.2
18.72,6.2,2.01,8.78
13.92,5.33,4.92,8.19
11.4,8.94,0.64,9.48
1.94,7.89,5.82,6.25
12.3,1.52,2.69,5.91
19.8,3.12,7.98,10.0
2.8,2.48,3.1,2.22
10.37,7.44,4.55,6.19
17.55,0.34,0.12,3.87
14.82,5.7,0.72,3.99
13.94,7.62,3.92,10.0
14.05,8.77,4.8,7.51
7.19,3.42,6.0,4.99
5.87,8.21,2.92,5.51
16.19,1.11,6.95,7.84
16.2,8.46,8.6,10.0
17.34,1.27,7.8,9.34
18.26,3.97,0.4,6.31
10.23,7.97,4.81,7.45
10.03,1.5,1.05,4.35
15.97,2.29,2.42,6.06
13.0,7.22,9.87,10.0
14.04,7.2,1.42,8.26
15.92,6.41,4.99,9.94
17.8,6.94,6.18,10.0
6.76,5.43,7.02,8.07
7.51,2.52,5.6,5.21
1.88,3.46,0.1,0.03
11.57,1.82,3.26,5.77
0.72,9.08,5.18,4.43
9.31,5.83,0.88,4.6
10.85,4.01,3.51,6.79
5.73,4.62,0.33,5.52
11.82,9.47,0.79,7.6
0.61,1.53,3.97,2.45
0.75,5.86,1.33,5.52
16.45,5.06,5.68,9.02
7.2,6.11,6.89,10.0
2.54,0.18,8.01,4.08
10.44,8.72,2.0,4.58
15.4,9.32,1.67,9.98
4.32,5.65,1.05,4.44
12.46,6.97,6.36,10.0
1.71,9.22,7.06,7.33
1.03,7.07,0.32,3.03
10.63,1.53,9.36,4.77
10.81,5.76,0.52,5.39
12.75,6.07,5.41,6.6
14.52,4.24,7.09,7.31
19.52,7.36,8.71,10.0
10.33,9.34,7.14,10.0
6.46,9.26,8.02,8.64
15.9,4.51,3.39,5.8
5.42,1.13,8.15,5.19
8.78,9.85,0.8,8.61
1.57,8.39,8.95,5.6
0.51,1.25,5.48,2.09
19.25,9.21,8.17,10.0
16.72,8.7,4.52,8.68
13.92,5.19,6.44,9.15
8.18,5.91,5.26,6.22
3.47,3.99,7.32,5.46
3.13,0.55,0.82,0.07
5.0,3.35,0.6,2.37
10.98,8.03,2.47,8.33
14.29,0.05,1.6,4.23
13.2,3.33,8.72,10.0
5.6,3.98,2.19,3.33
19.1,5.37,9.76,10.0
14.76,9.2,3.37,10.0
11.09,3.46,1.82,3.13
12.23,3.47,7.9,4.79
8.39,7.38,6.59,5.16
4.95,4.52,4.98,6.68
7.12,2.25,5.55,3.87
15.16,4.52,7.19,10.0
0.29,1.41,2.28,0.49
2.32,1.76,9.96,4.67
0.92,4.98,9.75,7.51
0.81,4.19,6.5,6.88
17.11,9.15,2.0,10.0
14.07,3.62,6.8,9.52
9.48,5.81,0.72,6.92
1.96,6.32,0.31,4.1
9.83,0.13,2.58,4.94
9.47,6.64,4.63,6.06
3.46,1.78,8.68,3.13
8.68,9.61,7.27,8.62
7.97,1.49,7.43,4.96
12.32,4.15,4.25,5.95
12.7,0.85,3.46,6.23
0.91,9.97,3.71,6.81
7.49,5.02,9.88,7.35
12.52,5.95,0.4,8.47
10.06,0.67,8.67,4.18
17.13,7.5,5.79,9.58
13.17,2.1,4.39,5.03
3.26,8.98,7.25,3.95
1.41,2.05,4.87,2.58
12.85,1.91,8.73,7.05
0.53,0.37,9.01,5.28
11.72,4.72,4.22,7.61
18.8,5.65,2.77,7.19
11.51,0.66,5.92,8.27
7.76,7.76,9.12,10.0
12.87,4.53,2.11,7.18
9.17,5.24,6.23,6.38
10.91,4.41,6.32,5.49
18.83,4.01,7.33,8.89
7.72,5.6,1.32,6.58
19.22,1.55,7.16,10.0
18.11,1.82,9.09,10.0
3.92,8.62,1.8,4.43
1.39,9.46,2.38,3.23
2.02,3.73,9.71,5.22
0.36,2.71,1.81,0.0
1.89,6.44,8.54,6.19
13.66,4.09,4.92,6.99
1.42,0.25,2.47,0.57
6.38,1.56,8.71,2.76
16.9,7.16,4.45,10.0
0.47,6.59,5.15,3.52
16.29,0.27,3.59,4.32
5.64,2.22,5.93,0.05
2.36,2.31,1.64,2.08
13.93,6.72,3.91,10.0
12.58,0.2,9.69,9.25
17.55,1.04,2.58,5.77
14.7,8.0,6.57,8.68
16.07,1.79,3.25,7.21
5.64,6.53,7.73,5.13
3.55,2.38,1.31,2.86
15.01,0.99,9.7,8.96
16.14,2.43,4.54,9.02
19.81,7.22,2.36,9.39
8.25,8.56,0.73,5.81
7.44,8.3,1.7,4.75
15.53,3.97,5.2,6.57
6.82,6.68,3.37,5.39
18.62,2.05,8.29,9.44
17.17,2.93,4.31,8.99
8.58,8.96,2.49,5.7
15.02,0.13,6.17,8.65
15.09,0.86,7.07,6.58
2.06,2.08,1.67,1.92
18.05,0.27,1.68,4.9
10.11,1.81,0.37,0.23
16.53,5.83,7.36,10.0
6.4,4.21,6.64,6.7
17.91,8.93,4.75,9.95
7.78,8.17,8.44,8.24
0.22,3.42,8.06,4.62
18.11,2.59,5.85,5.88
1.83,3.8,8.68,3.88
6.39,5.9,2.06,6.09
19.0,2.68,1.12,5.23
19.01,6.24,2.7,9.45
11.47,4.09,0.57,3.21
12.64,5.52,5.31,8.29
8.97,4.36,9.37,7.19
5.86,2.94,0.39,0.63
6.57,9.48,1.22,7.88
13.45,7.64,4.52,7.34
15.05,1.4,9.34,6.66
15.83,8.68,3.16,9.47
15.79,4.87,5.07,9.93
1.82,8.95,0.42,2.73
9.89,8.0,1.48,6.7
1.15,4.25,9.87,5.65
10.99,0.22,9.65,7.32
8.83,2.69,0.05,4.0
17.75,5.42,9.52,9.8
7.02,6.33,6.39,5.32
2.34,2.58,8.68,4.47
2.86,1.39,4.55,1.17
15.23,8.35,5.16,5.07
12.36,9.84,4.89,9.77
2.02,5.26,6.67,6.07
1.68,1.72,1.4,0.0
14.02,2.72,0.3,3.87
1.46,0.18,3.08,2.36
16.44,9.14,7.05,10.0
14.12,1.18,2.02,5.35
1.63,5.77,6.73,3.72
1.7,2.74,9.7,4.24
19.73,5.54,0.94,10.0
7.49,6.51,6.73,5.9
7.41,8.3,4.44,5.68
16.26,2.06,8.68,7.58
18.94,0.11,1.77,4.83
19.72,1.37,6.93,8.73
15.07,9.0,8.38,10.0
7.53,8.74,9.45,9.07
1.67,5.97,6.83,4.56
15.54,6.01,4.97,8.12
11.17,6.65,6.18,5.52
8.48,1.75,8.69,7.18
18.13,9.14,5.71,10.0
2.22,4.19,0.3,2.16
9.85,3.83,9.31,10.0
0.23,5.19,6.9,4.66
9.37,0.47,6.77,3.9
1.13,1.66,2.16,1.01
2.38,7.38,6.59,7.36
2.35,0.83,3.94,2.39
12.98,6.03,6.51,6.1
14.92,2.45,1.07,7.16
11.67,3.89,6.58,6.03
19.24,2.89,9.99,10.0
7.5,3.56,0.48,5.44
5.71,7.19,9.77,6.85
17.37,2.97,4.07,9.54
4.47,5.66,8.71,6.32
19.26,4.76,7.82,10.0
0.24,6.64,5.67,5.16
19.4,9.37,7.38,10.0
0.86,7.33,8.79,4.86
17.82,2.15,4.04,8.96
10.55,0.31,3.27,3.77
19.86,2.62,6.68,8.4
1.48,5.95,8.08,3.81
11.08,0.51,7.62,6.45
19.39,4.96,7.98,10.0
10.46,5.97,4.36,5.23
12.59,3.34,8.18,7.6
13.91,7.71,1.2,9.74
9.09,1.07,5.44,4.67
12.55,0.75,0.06,4.76
11.69,7.28,3.25,5.8
18.02,4.95,3.66,9.13
0.91,6.88,3.96,3.93
5.62,4.35,6.95,6.99
19.01,2.46,3.89,9.63
17.81,8.19,4.49,10.0
9.11,7.99,2.38,7.51
12.4,6.95,3.73,8.11
5.55,2.72,2.27,3.73
3.76,5.9,0.73,3.18
9.27,3.61,6.03,6.54
7.07,0.92,6.68,4.05
11.67,9.17,6.19,9.28
1.55,1.37,4.63,4.38
19.49,9.5,3.8,9.28
19.72,4.46,8.63,10.0
